STOREID,STORE NAME,CATEGORY OF PRODUCTS AVAILABLE,ADDRESS,CITY,ZIPCODE,COUNTRY,PHONE
439673,Telekom Shop Berlin Mitte,HEADPHONES,8 Alexanderplatz,Berlin,10178,Germany,
402153,Lindgrens Radio & TV AB,"WELLNESS,WEARABLES",18 Tullportsgatan,Norrtälje,761 30,Sweden,4617679780
405395,Media Markt TV-Hifi- Elektro GmbH  Ludwigsburg,HEADPHONES, Heinkelstraße 1,Ludwigsburg,71634,Germany,4971412350
400190,Mini Radio & TV,HEADPHONES,17 Vestergade,Herning,7400,Denmark,4597125766
400549,Mayerhofer,HEADPHONES AND SPEAKERS,146 Schönbrunnerstraße,Wien,1120,Austria,4318131669
436025,Interdiscount Haag (Rheintal),HEADPHONES AND SPEAKERS, Haag-Center,Haag (Rheintal),9469,Switzerland,41817716311
443685,MORFOISSE BARON,"WELLNESS,WEARABLES",8 RUE DE LA BRIQUETERIE,VITRE,35500,France,3.30E+11
TH_68,Studio 7 @ Central Festival Hat Yai,"HEADPHONES,SPEAKERSWELLNESS,WEARABLES"," Kanjanawanich., Hadyai",Songkha,90110,Thailand,+66 8 83995538
AU_16,Premium Dealer: Audio Junction Pty Limited,"WELLNESS,WEARABLES", Shop 4,Hamilton,2303,Australia,
IN_197,"Reliance Digital, Cunnigham Road",HEADPHONES, No. 74 Ground Floor,Bengaluru,560052,India,080 41286000
401433,BOULANGER CAMBRAI BOULANGER,SPEAKERS, CENTRE COMMERCIAL CORA  RN44,CAMBRAI,59400,France,33362532200
430307,SVD FRANCE,HEADPHONES,18 AVENUE DE LA FORET,EYSINES,33326,France,3.31E+11
AU_582,AUTHORISED RESELLER (SLEEPBUDS ONLY): Harvey Norman AV/IT Chirnside Park,HEADPHONES AND SPEAKERS, 286 Maroondah Highway,CHIRNSIDE PARK,3138,Australia,
401878,DARTY FORBACH DARTY,"WELLNESS,WEARABLES", Carrrefour de l'Europe RN3,FORBACH,57600,France,33387879610
449277,MED STORE - CHIETI,HEADPHONES,snc Loc. Santa Filomena c/o CC Megalo',CHIETI,66013,Italy,
TH_31,Studio 7 @ Central Plaza Rama II,"HEADPHONES,SPEAKERSWELLNESS,WEARABLES"," Rama2, Samaedum, Bangkhuntian",Bangkok,10150,Thailand,+66 2 8721403
400644,Saturn Graz V Citypark,HEADPHONES AND SPEAKERS,55 Lazarettgürtel,Graz,8020,Austria,43154633
400569,Media Markt Innsbruck,HEADPHONES,8 Grabenweg,Innsbruck,6020,Austria,43154699
IN_51,INORBIT MALL,HEADPHONES, Inorbit Mall road,Hyderabad,500081,India,0091 40 40112014
400937,Media Markt Cruquius B.V.,HEADPHONES AND SPEAKERS,10 Cruquiusplein,Cruquius,2142 EV,Netherlands,31235438800
411696,Bose Store Wiesbaden,HEADPHONES AND SPEAKERS,80 Kirchgasse,Wiesbaden,65183,Germany,4.96E+11
401572,CAVATORE TECHNOLOGIE CAVATORE TECHNOLOGIE BEC,HEADPHONES,26 ave des martyrs de la résistance,LE LAVANDOU,83980,France,33494466861
401859,DARTY MONTPELLIER II DARTY,HEADPHONES, Route de Ganges,ST CLEMENT DE RIVIERE,34980,France,33667612917
401809,BOULANGER ANNECY (SEYNOD) BOULANGER,HEADPHONES AND SPEAKERS, Espace commercial ARCAL'OZ,SEYNOD (ANNECY),74600,France,33480780400
HK_12,Bose Store,HEADPHONES AND SPEAKERS," Shop 2253A, 2/F, Tuen Mun Town Plaza Phase 1, 1 Tuen Shing Street, Tuen Mun, N.T.",Tuen Mun,,Hong Kong,+852 2153 0856
424294,TOMOT - Tomasz Komorowski,"WELLNESS,WEARABLES",31 TADEUSZA KOŚCIUSZKI,OSTRZESZÓW,63-500,Poland,48606232990
400796,Radio en TV Stegeman B.V.,"HEADPHONES,SPEAKERSN AND WEARABLES",88 Schuttersweg,Apeldoorn,7314 LJ,Netherlands,31553552187
427478,Wynant BVBA,HEADPHONES,7 Sint-Michielsweg,Kuurne,8520,Belgium,3256714914
423655,MARCO ITTA,"HEADPHONES,SPEAKERSN AND WEARABLES",18 Via dei Vitelli,ROMA,155,Italy,
IN_74,Crystal Sound (AV Integrator),SPEAKERS, Thanikachalam Road,Chennai,600017,India,044-45550102
CN_116,重庆万象城店,HEADPHONES, 重庆市九龙坡区谢家湾正街55号万象城5楼和2楼,重庆,400050,China,
436224,Dipl. Ing. Fust AG Arbon,"HEADPHONES,SPEAKERSN AND WEARABLES", St. Gallerstrasse 15,Arbon,9320,Switzerland,
405510,Media Markt TV-Hifi- Elektro GmbH Weiden,SPEAKERS, Regensburger Str. 61,Weiden,92637,Germany,4996138810
423609,PIBIESSE S.r.l.,HEADPHONES,11 VIA TRATTATO DI MAASTRICHT,NOVI LIGURE,15067,Italy,3.90E+11
405553,Media Markt TV-HiFi-Elektro GmbH Neuss,"HEADPHONES,SPEAKERSN AND WEARABLES", Konrad-Adenauer-Ring 95,Neuss,41464,Germany,49213140680
405702,Saturn Elektro-Handelsges. mbH Stuttgart,SPEAKERS, Königstr. 26,Stuttgart,70173,Germany,49711120400
403029,expert Handels GmbH Süd-West&Co.KG Ges.-Nr. 503,HEADPHONES, Stuttgarter Straße 14,Calw,75365,Germany,4.97E+12
406334,Krëfel Dendermonde Krëfel,"HEADPHONES,SPEAKERSWELLNESS,WEARABLES",51A Mechelsesteenweg,Dendermonde,9200,Belgium,3252219279
423482,LEC GmbH GF: Enrico Oswald,"WELLNESS,WEARABLES", Otto-Findeisen-Straße 18,Eibenstock,8309,Germany,49377523415
IN_342,"Kohinoor Electronics, Andheri (W)","HEADPHONES,SPEAKERSWELLNESS,WEARABLES","Link Road, Andheri West Veera Desai Industrail Estate",Mumbai,400102,India,022 6163 6475
TH_33,Studio 7 @ Central Plaza Ladprao,"WELLNESS,WEARABLES"," Paholyothin, Chatuchak, Chatuchak",Bangkok,10900,Thailand,+66 2 9370422
403371,HI FI MORONI di Moroni Giuseppe & C. Sas,"HEADPHONES,SPEAKERSWELLNESS,WEARABLES",2 Via Serio,ALBINO,24021,Italy,39035752232
402063,DARTY TOURS NORD DARTY,HEADPHONES, CENTRE COMMERCIAL DE LA PETITE ARCH,TOURS,37100,France,
400300,Gigantti Kokkola Kokkotel Oy,HEADPHONES, Niittykatu 3,Kokkola,67100,Finland,35820321321
424289,Music Machines-Org. i obsl. imprez Maciej Moleda,SPEAKERS,20/193 REMBIELIŃSKA,WARSZAWA,03-352,Poland,4.80E+13
404135,MED STORE,"WELLNESS,WEARABLES",42 Corso Vannucci,Perugia,6121,Italy,
411645,Bose Factory Outlet Castelromano,"HEADPHONES,SPEAKERSWELLNESS,WEARABLES",64 Via Ponte di Piscina Cupa,Roma,128,Italy,3.91E+11
403620,Media Markt Kraków I M1,"WELLNESS,WEARABLES", Aleja Pokoju 67,Kraków,31-580,Poland,48126838140
AU_18,Authorised Reseller: Audio Solutions Sight & Sound HED,SPEAKERS, 1195  Botany Road,Mascot,2020,Australia,
